experiment,run,seed,split,corruption,task,model,auc,closure_auc,closure_delta_vs_best_nonclosure,best_nonclosure,steps,n,dim,hidden,iters,params,rel_mode,directed,use_memory,memory_slots,memory_beta,memory_strength
per_graph,lesmis,0,lesmis,IN,edge,gcn,0.8610820514672174,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,29507,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,gcn,0.7057164437782705,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,29507,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,gcn,0.5611937500179496,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,29507,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,closure,0.9116478124620331,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,73331,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,closure,0.6053918825641105,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,73331,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,closure,0.6572872744324164,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,73331,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,closure_no_tri,0.8872889551198024,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,67187,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,closure_no_tri,0.45030029921504355,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,67187,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,closure_no_tri,0.6018842002584424,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,67187,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,closure_no_mem,0.8786090048402325,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,60275,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,closure_no_mem,0.7560166192740485,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,60275,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,closure_no_mem,0.7198845447526756,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,60275,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,closure_i1,0.9141424628745555,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,closure_i1,0.4848062201423494,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,closure_i1,0.6128251295917603,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,closure_i2,0.8958364156833005,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,closure_i2,0.4844996454303524,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,closure_i2,0.609517728157926,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,closure_i3,0.916839669735273,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,closure_i3,0.42144032813084054,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,closure_i3,0.6372850593805321,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,closure_i5,0.9116478124620331,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,closure_i5,0.6053918825641105,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,closure_i5,0.6572872744324164,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,edge,raw,0.695912744177233,0.7777572881517497,-0.0164446575521916,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,path2,raw,0.5633790058919212,0.5617629152586238,-0.06537872823961433,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,comm,raw,0.5726572629291711,0.5964367884423225,0.011769737272884773,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,edge,cn,0.6958221229527555,0.7777572881517497,-0.0164446575521916,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,path2,cn,0.6271416434982381,0.5617629152586238,-0.06537872823961433,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,comm,cn,0.5568093359608418,0.5964367884423225,0.011769737272884773,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,edge,jaccard,0.639294797422067,0.7777572881517497,-0.0164446575521916,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,path2,jaccard,0.6095965535321781,0.5617629152586238,-0.06537872823961433,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,comm,jaccard,0.565729981352209,0.5964367884423225,0.011769737272884773,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,edge,spectral,0.6329254219985108,0.7777572881517497,-0.0164446575521916,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,path2,spectral,0.5695483788746956,0.5617629152586238,-0.06537872823961433,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,comm,spectral,0.5726572629291711,0.5964367884423225,0.011769737272884773,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,edge,pair,0.695912744177233,0.7777572881517497,-0.0164446575521916,deep_big,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,path2,pair,0.5386603371855214,0.5617629152586238,-0.06537872823961433,cn,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,comm,pair,0.5846670511694377,0.5964367884423225,0.011769737272884773,pair,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,edge,deep,0.7341150210239156,0.7777572881517497,-0.0164446575521916,deep_big,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,path2,deep,0.507096088756641,0.5617629152586238,-0.06537872823961433,cn,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,comm,deep,0.5732447229149193,0.5964367884423225,0.011769737272884773,pair,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,OOD,edge,deep_big,0.7942019457039413,0.7777572881517497,-0.0164446575521916,deep_big,120,32,48,64,5,51587,raw,0,1,16,2.0,0.2
