experiment,run,seed,split,corruption,task,model,auc,closure_auc,closure_delta_vs_best_nonclosure,best_nonclosure,steps,n,dim,hidden,iters,params,rel_mode,directed
per_graph,lesmis,0,lesmis,IN,path2,closure,0.8005030921839735,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,60611,full,0
per_graph,lesmis,0,lesmis,IN,comm,closure,0.7779601118013922,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,60611,full,0
per_graph,lesmis,0,lesmis,IN,edge,closure_i1,0.9445604018105553,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,path2,closure_i1,0.7973024568790338,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,comm,closure_i1,0.7226640075083097,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,edge,closure_i2,0.9445929391927586,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,path2,closure_i2,0.7984445501158908,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,comm,closure_i2,0.7225613461118674,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,edge,closure_i3,0.9454358477299274,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,path2,closure_i3,0.7989198762781299,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,comm,closure_i3,0.7324780620488283,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,edge,closure_i5,0.9486848703145939,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,path2,closure_i5,0.8005030921839735,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,comm,closure_i5,0.7779601118013922,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,edge,raw,0.695912744177233,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,path2,raw,0.5633790058919212,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,comm,raw,0.5726572629291711,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,edge,cn,0.6958221229527555,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,path2,cn,0.6271416434982381,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,comm,cn,0.5568093359608418,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,edge,jaccard,0.639294797422067,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,path2,jaccard,0.6095965535321781,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,comm,jaccard,0.565729981352209,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,edge,spectral,0.6329254219985108,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,path2,spectral,0.5695483788746956,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,comm,spectral,0.5726572629291711,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,edge,pair,0.7824256233307494,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,4931,full,0
per_graph,lesmis,0,lesmis,OOD,path2,pair,0.6329363295219733,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,4931,full,0
per_graph,lesmis,0,lesmis,OOD,comm,pair,0.615650406584983,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,4931,full,0
per_graph,lesmis,0,lesmis,OOD,edge,deep,0.7958471454256377,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,12035,full,0
per_graph,lesmis,0,lesmis,OOD,path2,deep,0.6318973588763988,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,12035,full,0
per_graph,lesmis,0,lesmis,OOD,comm,deep,0.6092457382064453,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,12035,full,0
per_graph,lesmis,0,lesmis,OOD,edge,deep_big,0.7861344278243759,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,56963,full,0
per_graph,lesmis,0,lesmis,OOD,path2,deep_big,0.6300091846299609,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,56963,full,0
per_graph,lesmis,0,lesmis,OOD,comm,deep_big,0.6229706259351647,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,56963,full,0
per_graph,lesmis,0,lesmis,OOD,edge,gcn,0.7757443291660774,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,31747,full,0
per_graph,lesmis,0,lesmis,OOD,path2,gcn,0.6276534957001367,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,31747,full,0
per_graph,lesmis,0,lesmis,OOD,comm,gcn,0.5650734803015083,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,31747,full,0
per_graph,lesmis,0,lesmis,OOD,edge,closure,0.7943734342675867,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,60611,full,0
per_graph,lesmis,0,lesmis,OOD,path2,closure,0.6276298731304959,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,60611,full,0
per_graph,lesmis,0,lesmis,OOD,comm,closure,0.6275397580517719,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,60611,full,0
per_graph,lesmis,0,lesmis,OOD,edge,closure_i1,0.7947283196191129,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,path2,closure_i1,0.6273718953406686,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,comm,closure_i1,0.6108462409436624,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,edge,closure_i2,0.7956561867343916,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,path2,closure_i2,0.6272193356511591,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,comm,closure_i2,0.6107790768823501,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,edge,closure_i3,0.795843128481183,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,path2,closure_i3,0.6258511661216086,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,comm,closure_i3,0.6135716063188724,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,edge,closure_i5,0.7943734342675867,0.7943734342675867,-0.001473711158051061,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,path2,closure_i5,0.6276298731304959,0.6276298731304959,-0.005306456391477421,pair,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,OOD,comm,closure_i5,0.6275397580517719,0.6275397580517719,0.004569132116607144,deep_big,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,edge,raw,0.8533318014705882,0.8717826933019301,-0.004663857852711506,deep_big,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,path2,raw,0.7327339647411854,0.7443666565445072,-0.004194324032668284,deep,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,comm,raw,0.5813633221174804,0.7339221851245779,0.004085564052113022,deep_big,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,edge,cn,0.4992311724494486,0.8717826933019301,-0.004663857852711506,deep_big,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,path2,cn,0.7416359399908571,0.7443666565445072,-0.004194324032668284,deep,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,comm,cn,0.5553699017818221,0.7339221851245779,0.004085564052113022,deep_big,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,edge,jaccard,0.47932969037224266,0.8717826933019301,-0.004663857852711506,deep_big,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,path2,jaccard,0.7433868660036103,0.7443666565445072,-0.004194324032668284,deep,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,comm,jaccard,0.5603960165274902,0.7339221851245779,0.004085564052113022,deep_big,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,edge,spectral,0.49710205078125,0.8717826933019301,-0.004663857852711506,deep_big,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,path2,spectral,0.7434002818331535,0.7443666565445072,-0.004194324032668284,deep,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,comm,spectral,0.5813633221174804,0.7339221851245779,0.004085564052113022,deep_big,120,32,48,64,5,-1,full,0
per_graph,florentine,0,florentine,IN,edge,pair,0.8593748922909008,0.8717826933019301,-0.004663857852711506,deep_big,120,32,48,64,5,4931,full,0
per_graph,florentine,0,florentine,IN,path2,pair,0.7350617027425802,0.7443666565445072,-0.004194324032668284,deep,120,32,48,64,5,4931,full,0
per_graph,florentine,0,florentine,IN,comm,pair,0.7097451327256568,0.7339221851245779,0.004085564052113022,deep_big,120,32,48,64,5,4931,full,0
per_graph,florentine,0,florentine,IN,edge,deep,0.8691624899471508,0.8717826933019301,-0.004663857852711506,deep_big,120,32,48,64,5,12035,full,0
per_graph,florentine,0,florentine,IN,path2,deep,0.7485609805771755,0.7443666565445072,-0.004194324032668284,deep,120,32,48,64,5,12035,full,0
per_graph,florentine,0,florentine,IN,comm,deep,0.6848335033306996,0.7339221851245779,0.004085564052113022,deep_big,120,32,48,64,5,12035,full,0
per_graph,florentine,0,florentine,IN,edge,deep_big,0.8764465511546417,0.8717826933019301,-0.004663857852711506,deep_big,120,32,48,64,5,56963,full,0
per_graph,florentine,0,florentine,IN,path2,deep_big,0.7419571644009635,0.7443666565445072,-0.004194324032668284,deep,120,32,48,64,5,56963,full,0
per_graph,florentine,0,florentine,IN,comm,deep_big,0.7298366210724648,0.7339221851245779,0.004085564052113022,deep_big,120,32,48,64,5,56963,full,0
per_graph,florentine,0,florentine,IN,edge,gcn,0.8434721284754136,0.8717826933019301,-0.004663857852711506,deep_big,120,32,48,64,5,31747,full,0
per_graph,florentine,0,florentine,IN,path2,gcn,0.747993669559968,0.7443666565445072,-0.004194324032668284,deep,120,32,48,64,5,31747,full,0
per_graph,florentine,0,florentine,IN,comm,gcn,0.6573120356645393,0.7339221851245779,0.004085564052113022,deep_big,120,32,48,64,5,31747,full,0
per_graph,florentine,0,florentine,IN,edge,closure,0.8717826933019301,0.8717826933019301,-0.004663857852711506,deep_big,120,32,48,64,5,60611,full,0
per_graph,florentine,0,florentine,IN,path2,closure,0.7443666565445072,0.7443666565445072,-0.004194324032668284,deep,120,32,48,64,5,60611,full,0
per_graph,florentine,0,florentine,IN,comm,closure,0.7339221851245779,0.7339221851245779,0.004085564052113022,deep_big,120,32,48,64,5,60611,full,0
per_graph,florentine,0,florentine,IN,edge,closure_i1,0.8618668141084558,0.8717826933019301,-0.004663857852711506,deep_big,120,32,48,64,5,-1,full,0
